y=665, rel_y=572, left=284, right=819, width=536
y=666, rel_y=573, left=284, right=819, width=536
y=667, rel_y=574, left=284, right=819, width=536
y=668, rel_y=575, left=284, right=819, width=536
y=669, rel_y=576, left=284, right=819, width=536
y=670, rel_y=577, left=284, right=819, width=536
y=671, rel_y=578, left=284, right=819, width=536
y=672, rel_y=579, left=295, right=819, width=525
y=673, rel_y=580, left=295, right=819, width=525
y=674, rel_y=581, left=293, right=819, width=527
y=675, rel_y=582, left=295, right=819, width=525
y=676, rel_y=583, left=295, right=819, width=525
y=677, rel_y=584, left=295, right=819, width=525
y=678, rel_y=585, left=295, right=819, width=525
y=679, rel_y=586, left=295, right=819, width=525
y=680, rel_y=587, left=295, right=819, width=525
y=681, rel_y=588, left=295, right=819, width=525
y=682, rel_y=589, left=295, right=819, width=525
y=683, rel_y=590, left=4, right=819, width=816
y=684, rel_y=591, left=2, right=819, width=818
y=685, rel_y=592, left=0, right=819, width=820
y=686, rel_y=593, left=315, right=819, width=505
y=687, rel_y=594, left=318, right=819, width=502
y=688, rel_y=595, left=318, right=819, width=502
y=689, rel_y=596, left=7, right=819, width=813
y=690, rel_y=597, left=7, right=819, width=813
y=691, rel_y=598, left=318, right=819, width=502
y=692, rel_y=599, left=318, right=819, width=502
y=693, rel_y=600, left=318, right=819, width=502
y=694, rel_y=601, left=319, right=818, width=500
y=695, rel_y=602, left=337, right=798, width=462
y=696, rel_y=603, left=333, right=796, width=464
y=697, rel_y=604, left=337, right=796, width=460
y=698, rel_y=605, left=339, right=796, width=458
y=699, rel_y=606, left=339, right=796, width=458
y=700, rel_y=607, left=339, right=796, width=458
y=701, rel_y=608, left=341, right=796, width=456
y=702, rel_y=609, left=341, right=796, width=456
y=703, rel_y=610, left=341, right=796, width=456
y=704, rel_y=611, left=341, right=796, width=456
y=705, rel_y=612, left=341, right=796, width=456
y=706, rel_y=613, left=341, right=796, width=456
y=707, rel_y=614, left=225, right=796, width=572
y=708, rel_y=615, left=341, right=796, width=456
y=709, rel_y=616, left=341, right=796, width=456
y=710, rel_y=617, left=341, right=796, width=456
y=711, rel_y=618, left=341, right=796, width=456
y=712, rel_y=619, left=179, right=796, width=618
y=713, rel_y=620, left=339, right=796, width=458
y=714, rel_y=621, left=341, right=796, width=456
y=715, rel_y=622, left=341, right=796, width=456
y=716, rel_y=623, left=341, right=796, width=456
y=717, rel_y=624, left=339, right=773, width=435
y=718, rel_y=625, left=339, right=773, width=435
y=719, rel_y=626, left=339, right=773, width=435
y=720, rel_y=627, left=341, right=773, width=433
y=721, rel_y=628, left=341, right=773, width=433
y=722, rel_y=629, left=339, right=773, width=435
y=723, rel_y=630, left=341, right=773, width=433
y=724, rel_y=631, left=341, right=773, width=433
y=725, rel_y=632, left=339, right=773, width=435
y=726, rel_y=633, left=341, right=773, width=433
y=727, rel_y=634, left=341, right=773, width=433
y=728, rel_y=635, left=341, right=773, width=433
y=729, rel_y=636, left=341, right=728, width=388
y=730, rel_y=637, left=341, right=728, width=388
y=731, rel_y=638, left=341, right=730, width=390
y=732, rel_y=639, left=341, right=730, width=390
y=733, rel_y=640, left=341, right=732, width=392
y=734, rel_y=641, left=339, right=730, width=392
y=735, rel_y=642, left=339, right=728, width=390
y=736, rel_y=643, left=339, right=730, width=392
y=737, rel_y=644, left=341, right=728, width=388
y=738, rel_y=645, left=341, right=728, width=388
y=739, rel_y=646, left=339, right=728, width=390
y=740, rel_y=647, left=339, right=728, width=390
y=741, rel_y=648, left=339, right=728, width=390
y=742, rel_y=649, left=339, right=728, width=390
y=743, rel_y=650, left=339, right=728, width=390
y=744, rel_y=651, left=339, right=728, width=390
y=745, rel_y=652, left=339, right=728, width=390
y=746, rel_y=653, left=339, right=728, width=390
y=747, rel_y=654, left=339, right=728, width=390
y=748, rel_y=655, left=339, right=728, width=390
y=749, rel_y=656, left=341, right=728, width=388
y=750, rel_y=657, left=339, right=728, width=390
y=751, rel_y=658, left=339, right=727, width=389
y=752, rel_y=659, left=341, right=707, width=367
y=753, rel_y=660, left=341, right=707, width=367
y=754, rel_y=661, left=341, right=705, width=365
