y=670, rel_y=498, left=246, right=776, width=531
y=671, rel_y=499, left=246, right=779, width=534
y=672, rel_y=500, left=245, right=766, width=522
y=673, rel_y=501, left=243, right=766, width=524
y=674, rel_y=502, left=246, right=779, width=534
y=675, rel_y=503, left=243, right=780, width=538
y=676, rel_y=504, left=249, right=770, width=522
y=677, rel_y=505, left=249, right=782, width=534
y=678, rel_y=506, left=244, right=781, width=538
y=679, rel_y=507, left=245, right=778, width=534
y=680, rel_y=508, left=242, right=780, width=539
y=681, rel_y=509, left=258, right=766, width=509
y=682, rel_y=510, left=259, right=765, width=507
y=683, rel_y=511, left=258, right=764, width=507
y=684, rel_y=512, left=262, right=742, width=481
y=685, rel_y=513, left=313, right=742, width=430
y=686, rel_y=514, left=305, right=745, width=441
y=687, rel_y=515, left=300, right=746, width=447
y=688, rel_y=516, left=283, right=747, width=465
y=689, rel_y=517, left=282, right=748, width=467
y=690, rel_y=518, left=280, right=750, width=471
y=691, rel_y=519, left=281, right=751, width=471
y=692, rel_y=520, left=277, right=751, width=475
y=693, rel_y=521, left=276, right=757, width=482
y=694, rel_y=522, left=275, right=754, width=480
y=695, rel_y=523, left=271, right=754, width=484
y=696, rel_y=524, left=271, right=752, width=482
y=697, rel_y=525, left=261, right=757, width=497
y=698, rel_y=526, left=269, right=760, width=492
y=699, rel_y=527, left=259, right=760, width=502
y=700, rel_y=528, left=258, right=760, width=503
y=701, rel_y=529, left=260, right=761, width=502
y=702, rel_y=530, left=283, right=706, width=424
y=703, rel_y=531, left=285, right=542, width=258
y=704, rel_y=532, left=286, right=539, width=254
y=705, rel_y=533, left=286, right=539, width=254
y=706, rel_y=534, left=287, right=539, width=253
y=707, rel_y=535, left=287, right=545, width=259
y=708, rel_y=536, left=330, right=538, width=209
y=709, rel_y=537, left=329, right=550, width=222
y=710, rel_y=538, left=403, right=613, width=211
y=711, rel_y=539, left=343, right=712, width=370
y=712, rel_y=540, left=344, right=553, width=210
y=713, rel_y=541, left=306, right=714, width=409
y=714, rel_y=542, left=326, right=711, width=386
y=715, rel_y=543, left=327, right=716, width=390
y=716, rel_y=544, left=346, right=713, width=368
y=717, rel_y=545, left=314, right=713, width=400
y=718, rel_y=546, left=300, right=728, width=429
y=719, rel_y=547, left=300, right=716, width=417
y=720, rel_y=548, left=301, right=730, width=430
y=721, rel_y=549, left=339, right=727, width=389
y=722, rel_y=550, left=311, right=737, width=427
y=723, rel_y=551, left=301, right=731, width=431
y=724, rel_y=552, left=297, right=722, width=426
y=725, rel_y=553, left=304, right=719, width=416
y=726, rel_y=554, left=298, right=719, width=422
y=727, rel_y=555, left=298, right=718, width=421
y=728, rel_y=556, left=358, right=717, width=360
y=729, rel_y=557, left=296, right=726, width=431
y=730, rel_y=558, left=298, right=631, width=334
y=731, rel_y=559, left=401, right=636, width=236
y=732, rel_y=560, left=400, right=637, width=238
y=733, rel_y=561, left=403, right=636, width=234
y=734, rel_y=562, left=403, right=637, width=235
y=735, rel_y=563, left=403, right=637, width=235
y=736, rel_y=564, left=404, right=637, width=234
y=737, rel_y=565, left=404, right=637, width=234
y=738, rel_y=566, left=406, right=637, width=232
y=739, rel_y=567, left=413, right=637, width=225
y=740, rel_y=568, left=413, right=637, width=225
y=741, rel_y=569, left=413, right=637, width=225
y=742, rel_y=570, left=413, right=635, width=223
y=743, rel_y=571, left=405, right=635, width=231
y=744, rel_y=572, left=400, right=636, width=237
y=745, rel_y=573, left=416, right=635, width=220
y=746, rel_y=574, left=416, right=634, width=219
y=747, rel_y=575, left=405, right=636, width=232
y=748, rel_y=576, left=415, right=637, width=223
y=749, rel_y=577, left=404, right=633, width=230
y=750, rel_y=578, left=415, right=632, width=218
y=751, rel_y=579, left=415, right=608, width=194
y=752, rel_y=580, left=413, right=615, width=203
y=753, rel_y=581, left=403, right=636, width=234
y=754, rel_y=582, left=405, right=636, width=232
y=755, rel_y=583, left=401, right=636, width=236
y=756, rel_y=584, left=405, right=636, width=232
y=757, rel_y=585, left=394, right=634, width=241
y=758, rel_y=586, left=405, right=610, width=206
y=759, rel_y=587, left=414, right=610, width=197
y=760, rel_y=588, left=406, right=635, width=230
y=761, rel_y=589, left=404, right=634, width=231
y=762, rel_y=590, left=402, right=634, width=233
y=763, rel_y=591, left=402, right=627, width=226
y=764, rel_y=592, left=401, right=609, width=209
y=765, rel_y=593, left=401, right=632, width=232
y=766, rel_y=594, left=401, right=635, width=235
y=767, rel_y=595, left=401, right=634, width=234
y=768, rel_y=596, left=401, right=634, width=234
y=769, rel_y=597, left=401, right=634, width=234
y=770, rel_y=598, left=401, right=633, width=233
y=771, rel_y=599, left=401, right=632, width=232
y=772, rel_y=600, left=386, right=635, width=250
y=773, rel_y=601, left=401, right=608, width=208
